Gene ID	Log2Ratio	p-value	Max RPKM
NM_001145526	-0.61	4.77E-01	1188.77
NR_027083	-0.31	6.45E-01	389.66
NM_001134	3.22	1.60E-01	124.71
NM_001002243	-1.54	6.13E-02	17469.56
NM_017657	-1.35	8.00E-02	15781.60
NM_203437	-1.28	2.52E-04	11719.55
NM_000027	-0.76	1.75E-01	10663.01
NM_014914	-1.40	1.58E-01	8288.78
NM_001037131	-0.71	3.48E-02	35207.01
NM_014770	-2.13	2.73E-01	6168.14
NM_001122772	-0.77	4.95E-01	4771.34
NR_027032	0.64	3.31E-01	9146.04
NM_031946	-0.40	3.25E-01	17634.56
NM_001042535	1.60	5.73E-03	10115.96
NM_133447	-2.58	6.17E-03	3752.26
NM_001144000	-1.25	4.00E-02	1548.84
NM_001077685	-0.87	4.04E-01	705.97
NM_001077686	-0.60	1.87E-01	496.40
NM_001077665	-0.50	1.61E-01	17901.67
NM_133446	-0.10	9.16E-01	385.02
NM_152336	0.86	3.47E-01	1.82
NM_024783	-1.76	1.32E-01	218.88
NM_178563	0.24	7.69E-01	143.48
NM_032785	-1.31	2.32E-01	33.24
NM_021831	-0.99	1.47E-02	12785.31
NM_001035507	-0.13	7.58E-01	10290.15
NM_172197	0.06	9.14E-01	39.04
NM_001136	0.50	4.58E-01	113.11
NM_001135189	-0.42	4.06E-01	964.90
NM_001135187	-0.12	6.75E-01	522.69
NM_001135188	0.26	6.14E-01	9965.52
NM_004504	0.32	4.45E-01	61941.55
NM_006076	-0.18	7.54E-01	9716.45
NM_018046	-0.40	1.42E-01	25534.08
NM_018238	0.46	1.76E-01	22809.57
NM_000644	-2.06	1.75E-01	2716.57
NM_000643	-2.03	2.07E-01	3409.27
NM_000646	-1.05	8.26E-02	1073.50
NM_000645	-0.55	2.79E-01	721.16
NM_000028	-0.15	7.45E-01	799.39
NM_000642	-0.12	7.60E-01	15976.88
NM_024758	0.55	6.53E-01	2384.30
NM_001004320	-3.18	2.23E-01	325.49
NM_012199	-0.41	1.75E-01	32322.80
NM_012154	-0.18	7.68E-01	26225.88
NM_177422	-0.29	5.74E-01	395.11
NM_024852	0.66	1.65E-01	7064.53
NM_017629	-0.63	1.68E-01	9607.74
NM_032741	-0.76	3.46E-01	6398.84
NM_006411	0.97	1.55E-01	61641.61
NM_006412	-0.60	1.23E-01	17358.69
NM_001012727	-0.54	2.99E-01	8648.83
NM_020132	-0.88	1.44E-01	60539.78
NM_001037553	-0.30	7.29E-02	578.87
NM_020133	4.47	6.88E-03	10507.41
NR_024277	4.67	6.22E-02	605.96
NM_018361	2.10	2.74E-02	89525.29
NM_178819	0.21	7.00E-01	89247.57
NM_032717	1.02	1.62E-01	660.31
NM_003659	3.46	2.01E-02	60133.09
NM_006408	-10.00	1.74E-01	60560.87
NM_176813	-11.18	2.91E-01	4628.72
NM_198576	-0.78	1.43E-01	245198.36
NM_001138	-2.33	6.22E-02	10.75
NM_000029	0.71	6.95E-01	250.67
NM_015239	1.24	1.42E-01	4437.19
NM_031850	0.34	8.55E-01	1096.14
NM_004835	0.79	6.52E-01	1622.03
NM_000685	1.49	3.54E-01	1494.81
NM_032049	3.85	1.01E-01	437.02
NM_009585	5.54	3.06E-01	3844.88
NM_000686	0.00	1.00E+00	5.35
NM_001040196	-0.80	4.65E-01	1808.98
NM_001040197	-0.15	7.07E-01	2860.72
NM_020350	-0.11	8.21E-01	4139.01
NM_001040195	-0.06	8.96E-01	7396.56
NM_001040194	-0.03	9.74E-01	1772.60
NM_000030	-4.54	1.67E-01	23.24
NM_031900	-2.41	8.33E-02	5.32
NM_015446	-0.21	4.29E-01	2235.37
NM_001161766	-0.06	7.73E-01	158.80
NM_000687	0.25	5.19E-01	199314.63
NM_006621	0.29	4.95E-01	122782.68
NM_001130723	-2.33	1.61E-03	10026.05
NM_001130722	-2.18	2.77E-03	9571.07
NM_001130720	0.46	6.43E-01	3430.05
NM_015328	0.50	5.70E-01	3404.46
NM_001029882	0.64	8.17E-02	29430.29
NM_017651	-0.68	5.23E-01	3020.61
NM_001134830	0.91	3.01E-01	3314.14
NM_001134832	1.11	8.56E-02	3775.11
NM_001134831	1.47	4.88E-02	5009.94
NM_001620	-0.73	1.17E-01	1097387.88
NM_024060	-0.69	3.16E-01	7292.92
NM_138420	3.03	4.90E-02	160770.69
NM_001621	2.09	2.81E-03	90418.38
NM_020731	-0.77	2.53E-01	2205.19
NM_012111	0.67	1.41E-01	61629.05
NM_152392	-1.14	1.47E-01	23238.72
NM_001622	0.17	8.71E-01	13.11
NM_020661	-0.30	6.17E-01	12.23
NM_022831	0.83	2.87E-01	14884.79
NM_032955	-1.01	3.47E-01	0.50
NM_001623	-0.70	3.47E-01	0.62
NM_004847	1.70	1.99E-01	3.26
NM_031426	-4.80	1.52E-04	49902.85
NM_145813	-1.84	6.60E-02	1310.30
NM_001130846	-0.13	8.54E-01	2227.46
NM_004208	-0.03	9.71E-01	23548.86
NM_145812	0.99	4.40E-01	315.05
NM_001130847	2.73	1.38E-01	529.46
NM_032797	0.49	5.78E-01	12367.62
NR_027464	-3.14	2.74E-01	431.48
NM_001146288	-2.27	5.69E-02	1103.61
NM_144704	-1.94	8.71E-02	2346.68
NM_001018060	-1.83	6.66E-02	2584.79
NM_016108	0.31	5.49E-01	13373.81
NM_001624	-1.82	1.10E-01	82174.91
NM_001039775	-4.25	1.43E-02	1718.48
NM_004833	6.62	1.51E-01	98.42
NM_004757	-0.51	2.04E-01	2777.45
NM_001142416	-0.07	8.18E-01	28254.71
NM_001142415	0.02	9.65E-01	425.57
NM_006303	0.44	3.83E-01	23800.55
NM_003977	-1.02	2.90E-01	32014.89
NM_014336	-1.53	3.22E-01	14.15
NM_001033055	-0.88	4.80E-01	8.64
NM_001033054	-0.37	7.71E-01	6.06
NM_000658	0.02	9.84E-01	2.41
NM_000383	0.16	9.37E-01	0.81
NM_001042478	9.19	2.73E-01	582.90
NM_018836	9.41	3.02E-01	2008.39
NM_032876	1.34	7.12E-02	73435.07
NM_198086	1.65	2.23E-01	32391.13
NM_000476	-0.32	4.50E-01	11530.95
NM_001625	0.65	8.02E-02	22481.95
NM_013411	1.04	4.83E-01	7902.45
NM_016282	-0.18	7.95E-01	27201.15
NM_013410	0.13	8.77E-01	5657.50
NM_001005353	0.18	7.80E-01	1009.06
NM_203464	0.49	3.24E-01	2631.06
NM_012093	3.73	1.12E-01	461.78
NM_174858	7.26	6.53E-02	10435.67
NM_016283	0.90	3.46E-02	9556.87
NM_001015891	1.16	9.87E-02	1897.99
NM_152327	-3.99	1.21E-01	2882.58
NM_152572	-3.09	3.48E-02	1567.57
NM_145025	-1.90	3.26E-03	4182.93
NM_001145128	-1.32	1.94E-01	342.41
NM_003488	-0.57	3.49E-01	62598.71
NM_007202	-0.17	7.74E-01	14943.32
NM_016248	0.30	5.29E-01	75274.08
NM_144497	2.59	2.99E-01	25700.03
NM_005100	4.74	2.16E-01	14236.33
NM_144767	-0.34	5.97E-01	30813.14
NM_007200	-0.02	9.60E-01	9504.76
NM_006738	0.55	5.78E-01	2676.90
NM_001008535	-5.26	2.96E-01	13.88
NM_178813	-3.37	2.32E-01	7.57
NM_001008534	-2.88	2.34E-01	4.97
NR_027383	-1.56	1.33E-01	152.20
NM_005088	-1.41	1.88E-01	138.33
NM_005088	-0.34	7.97E-01	3.59
NR_027383	-0.27	8.40E-01	3.52
NM_001136562	2.74	1.02E-01	3117.83
NM_001004065	7.49	1.16E-01	60237.66
NM_006422	0.55	6.65E-01	462.07
NM_004857	-0.61	3.47E-01	2731.74
NM_004274	-1.31	2.79E-01	1862.65
NM_138633	-0.77	5.60E-01	179.79
NM_004842	-0.27	7.99E-01	140.47
NM_016377	0.77	1.03E-01	608.05
NM_005858	0.50	7.08E-02	19352.36
NM_014371	-0.10	7.37E-01	15104.97
NM_005751	-1.57	2.22E-02	35336.52
NM_147185	-0.94	8.29E-02	4546.98
NM_020642	-1.48	1.16E-01	2145.64
NM_182901	0.45	4.85E-01	2255.83
NM_024595	0.33	9.09E-02	41338.77
NM_001136275	0.50	3.25E-01	3940.97
NM_018064	1.02	3.46E-03	24654.57
NM_030767	-0.66	1.84E-01	1538.64
NM_152763	-0.52	4.82E-01	343.49
NM_153326	-0.74	1.08E-01	23576.14
NM_006066	0.10	7.88E-01	9983.20
NM_001628	5.46	8.49E-02	94836.91
NM_020299	0.83	4.43E-01	289.39
NM_001080538	0.40	8.02E-01	29.96
NM_001135241	-1.84	4.90E-01	238.43
NM_205845	0.65	7.60E-01	3841.63
NM_001353	1.48	4.04E-01	2552.17
NM_001354	2.37	3.93E-01	576.13
NM_003739	3.78	3.45E-01	5837.11
NM_001818	-2.56	3.85E-01	632.06
NR_026743	-0.41	6.54E-01	15.90
NR_027916	-0.07	9.72E-01	2.11
NM_005989	-1.72	2.58E-02	44.61
NM_001040177	1.24	3.53E-01	328.38
NM_003689	-0.71	9.94E-02	33374.83
NR_002796	-0.82	3.61E-02	5430.11
NM_012067	-4.86	9.64E-02	5599.72
NM_201252	-1.95	5.63E-02	841.06
NM_001145289	-0.99	3.03E-01	243.49
NM_005163	-1.65	4.19E-02	39382.29
NM_001014432	-1.51	4.35E-01	3064.69
NM_001014431	-0.32	7.52E-01	4862.21
NM_032375	-0.24	5.70E-01	20250.60
NM_001098632	-0.16	6.52E-01	15392.21
NM_001098633	0.94	1.57E-01	23053.36
NM_001626	-0.06	7.80E-01	48923.08
NM_181690	4.40	1.09E-01	634.18
NM_005465	7.32	7.57E-02	30003.86
NM_001012398	-0.98	5.99E-03	16716.47
NM_022476	-0.41	9.00E-02	7648.95
NR_027097	-2.94	2.24E-02	63.39
NM_000031	-1.24	3.67E-02	13370.59
NM_199166	1.03	8.06E-02	19933.49
NM_000688	1.57	5.43E-03	14658.37
NM_000032	-1.57	1.56E-01	6.84
NM_001037967	-1.57	1.64E-01	6.60
NM_001037968	-0.33	6.88E-01	2.91
NM_000477	0.96	4.76E-01	12.91
NM_001627	-0.32	2.65E-01	3190.28
NM_153329	-0.58	2.11E-01	16600.52
NM_001145396	0.97	3.64E-01	2908.26
NM_001017423	0.18	6.70E-01	32102.11
NM_002860	0.71	8.02E-02	85405.19
NM_000689	7.21	3.49E-01	1484.75
NM_170696	2.43	4.18E-01	13.43
NM_170697	2.96	1.97E-01	7.55
NM_003888	3.86	2.19E-01	26.09
NM_000693	0.74	4.15E-01	6421.04
NM_000692	1.49	3.17E-03	44359.41
NM_012190	-0.51	8.08E-01	20.44
NR_027752	1.89	1.70E-01	14717.74
NM_001034173	1.91	1.63E-01	30128.29
NM_000690	-3.12	1.82E-01	50719.37
NM_001135167	0.57	6.43E-01	76.00
NM_000691	1.39	3.90E-01	160.91
NM_001135168	3.04	2.29E-01	81.21
NM_000382	-0.44	4.09E-01	36747.13
NM_001031806	-0.39	5.21E-01	4518.27
NM_001161473	-1.30	2.35E-01	4415.61
NM_001030010	-0.76	2.46E-01	8263.93
NM_000694	-0.51	4.94E-01	7824.64
NM_000695	-9.70	8.75E-02	123225.47
NM_001031615	-7.17	2.35E-01	20734.45
NM_003748	-2.98	6.79E-02	42237.08
NM_001161504	-2.65	9.32E-02	33235.02
NM_170726	-1.71	1.61E-01	196.17
NM_001080	-1.77	8.60E-03	29606.57
NM_170740	-0.47	8.26E-02	1182.88
NM_005589	-2.41	6.49E-02	19140.81
NM_001182	0.41	4.95E-01	37009.55
NM_170771	-1.32	1.19E-01	89.54
NM_022568	-0.94	3.92E-01	27.63
NM_000696	-0.70	1.35E-01	48682.86
NM_184041	-0.68	4.87E-01	116068.58
NM_184043	0.10	8.99E-01	68269.60
NM_000034	0.38	6.51E-01	24783.12
NM_001127617	1.20	1.54E-01	1289.81
NM_000035	1.36	4.76E-01	11.08
NM_005165	-1.64	3.63E-01	7021.98
NM_019109	0.01	9.77E-01	11495.99
NM_032834	-0.62	1.39E-01	10558.19
NM_001013620	-1.76	3.26E-02	19438.96
NM_001004127	-0.72	4.48E-02	48100.50
NM_024105	-0.61	8.52E-02	14338.50
NM_018466	-0.75	1.28E-01	7197.41
NM_144988	0.30	6.00E-01	4057.06
NM_001015050	-3.67	1.55E-02	1764.17
NM_001136152	0.40	5.15E-01	202.47
NR_024532	0.01	9.55E-01	8403.97
NM_033087	0.26	2.79E-01	24096.73
NM_005787	-0.05	9.08E-01	22515.23
NM_001006941	0.50	2.69E-01	5561.14
NR_024533	0.55	1.55E-01	785.09
NR_024534	1.41	1.69E-01	8568.12
NM_001142364	-1.15	1.81E-01	593.97
NM_013338	0.48	2.20E-01	10171.67
NM_013339	0.28	5.22E-01	8359.95
NM_001007027	-0.45	4.73E-01	2644.19
NM_024079	0.57	3.87E-01	4620.53
NM_001077690	-0.39	4.84E-01	794.41
NM_024740	-0.24	7.52E-01	1013.73
NM_001077692	0.46	3.06E-01	1041.02
NM_001077691	0.53	3.07E-01	14607.63
NM_004304	-2.18	3.74E-01	15.66
NM_006020	-0.19	6.28E-01	8761.66
NM_001145375	0.05	8.58E-01	62.81
NM_001145374	0.24	4.43E-01	6221.94
NR_026930	0.59	3.59E-01	644.59
NR_026931	0.85	8.56E-02	2332.24
NM_001001655	0.94	3.17E-01	582.16
NM_139178	-0.75	3.88E-01	2863.89
NM_017621	-0.16	4.44E-01	7150.30
NM_017758	0.33	3.69E-01	56964.93
NM_032878	-2.83	5.17E-02	871.58
NM_198867	-2.23	5.30E-02	169.44
NM_032306	0.09	8.40E-01	6992.05
NM_138775	1.43	5.50E-02	8485.92
NM_018436	-1.51	1.85E-01	2.84
NM_015120	-0.71	4.61E-01	5928.55
NR_003683	-2.69	1.76E-01	260.91
NM_000697	-0.08	8.70E-01	114.69
NM_001139	-1.42	2.81E-01	149.59
NR_002710	-6.63	1.17E-02	924.63
NM_001140	-9.35	7.97E-03	1685.01
NM_001141	-12.42	3.46E-01	71725.58
NM_001039131	-10.47	3.46E-01	11257.63
NM_001039130	-6.21	3.39E-01	1371.43
NM_000698	-7.43	3.05E-01	310.57
NM_001629	4.03	2.69E-01	29.91
NM_021628	-2.26	1.11E-01	592.11
NM_001631	-2.46	6.41E-02	5.52
NM_025144	-1.52	9.98E-02	7755.28
NM_001102406	-0.80	3.02E-01	1109.00
NM_052947	10.06	9.39E-02	22350.77
NM_020778	-0.85	4.62E-01	1354.89
NM_001127501	-1.53	2.94E-01	322.73
NM_000478	6.02	3.51E-01	8975.93
NM_001632	-0.54	6.05E-01	220.53
NM_031313	-0.94	4.48E-01	84.99
NM_001135745	0.42	2.26E-01	7686.19
NM_020919	0.49	2.45E-01	19394.91
NM_182775	-1.19	5.83E-02	551.14
NM_147129	0.29	8.10E-01	1381.14
NM_152525	3.19	4.02E-01	36.09
NM_139163	-1.13	3.39E-02	41.69
NM_001127391	-0.74	2.55E-01	29.68
NM_006982	3.44	2.90E-01	1266.52
NM_006492	-0.33	2.42E-01	1153.01
NM_021926	-2.40	2.73E-01	99.35
NM_005782	0.56	2.32E-01	41015.80
NM_014324	-0.97	3.57E-01	8596.07
NM_203382	-0.49	5.93E-01	1664.70
NM_016519	-0.01	9.98E-01	2.18
NM_001633	-10.25	3.31E-01	33865.78
NM_017749	-0.63	4.82E-01	3174.29
NM_001033059	0.76	5.70E-01	3208.53
NM_001634	1.37	3.18E-02	71489.64
NM_152435	1.11	3.13E-01	388.22
NM_001145815	-0.69	9.83E-02	3138.62
NM_015944	-0.58	4.05E-01	5097.34
NM_182681	-0.47	3.47E-01	0.72
NM_182680	-0.44	3.47E-01	0.74
NM_001142	-0.34	3.47E-01	0.79
NM_152424	0.27	6.25E-01	10898.02
NM_199138	-6.19	2.46E-01	168.57
NM_152704	-6.06	1.80E-01	190.67
NM_001105195	-5.91	1.09E-02	29.46
NM_001105194	-5.90	1.21E-02	29.32
NM_001105193	-5.83	6.99E-03	27.34
NM_152698	-5.57	9.19E-03	22.92
NM_001144	-1.18	4.98E-02	129944.87
NM_000479	-0.72	2.09E-01	5385.81
NM_020547	0.40	7.31E-01	4.73
NM_020703	-2.20	4.10E-03	4990.64
NM_181847	0.56	5.28E-01	63104.46
NM_001143668	1.19	2.55E-01	42197.45
NM_198722	-0.83	1.07E-01	6833.73
NM_015365	0.90	1.89E-01	40626.60
NM_001025580	1.08	2.05E-01	4726.81
NM_031445	0.12	7.79E-01	2022.27
NM_030943	-0.42	6.94E-01	12.26
NM_001113402	-1.92	2.18E-02	2473.34
NR_004854	-1.35	1.25E-02	1275.21
NM_133265	-2.07	6.51E-02	12260.35
NM_001113490	-0.96	9.12E-02	600.53
NM_130847	0.42	5.45E-01	57785.75
NM_016201	0.84	3.25E-01	22074.64
NM_000036	-2.44	3.81E-01	53.12
NM_203404	1.01	2.47E-01	1973.33
NM_139156	1.53	1.33E-02	41634.44
NM_004037	1.78	4.09E-02	3283.18
NM_000480	-0.49	6.28E-01	308.46
NM_001025390	1.35	4.67E-01	509.93
NM_001025389	3.18	2.34E-01	1791.81
NM_001635	1.19	2.59E-01	196.86
NM_139316	4.52	2.12E-01	8054.45
NM_000481	-0.78	3.90E-01	1356.00
NM_212557	-2.22	4.34E-01	87.55
NM_001008218	-2.02	2.87E-01	4.59
NM_001008221	0.13	3.47E-01	1.09
NM_001008221	0.29	8.25E-01	6.64
NM_001008218	0.31	8.17E-01	6.83
NM_001008221	1.52	1.49E-01	2.86
NM_001008219	1.92	2.01E-01	3.78
NM_000699	-2.99	2.08E-01	5.01
NM_020978	-0.43	4.42E-01	2796.94
NM_133463	-2.96	1.33E-01	16699.94
NM_001033572	-1.76	5.11E-02	512.01
NM_001033571	-1.45	5.68E-02	720.18
NM_016627	-0.53	4.24E-01	27812.38
NM_001033570	-0.47	8.44E-02	10456.44
NM_001033569	-0.39	2.83E-01	9544.26
NM_001033574	-0.31	6.37E-01	757.28
NR_026903	-1.24	1.74E-01	4840.65
NM_022662	0.58	1.13E-01	36945.57
NM_014885	0.11	7.81E-01	2975.09
NM_001002246	-2.60	6.08E-02	3132.60
NM_001002248	-1.54	2.99E-01	1814.17
NM_001002249	-0.49	3.32E-01	340.49
NM_016476	0.13	7.09E-01	11425.39
NM_001002247	0.16	7.56E-01	177.45
NM_001002245	0.51	4.24E-01	193.92
NM_001002244	0.98	1.00E-01	890.99
NM_015391	-0.32	4.34E-01	12994.12
NR_024401	-0.26	2.93E-01	5227.59
NR_024400	0.70	7.82E-02	14328.26
NM_014042	2.49	1.79E-01	1672.68
NM_173473	-0.11	8.39E-01	8982.10
NM_013366	-0.72	2.00E-03	26273.67
NM_013367	0.51	3.53E-01	6551.54
NM_001137559	-0.33	5.29E-01	369.10
NM_016237	-0.18	5.96E-01	56483.68
NM_001137664	-1.30	3.65E-02	10876.42
NM_016238	0.15	6.33E-01	35098.47
NM_001097577	-0.16	8.73E-01	231.10
NM_001145	0.37	6.92E-01	3499.15
NM_015305	-1.39	2.66E-02	37336.17
NM_144567	-0.21	7.70E-01	16333.38
NM_001146	1.89	4.05E-01	2256.08
NM_015985	-0.78	6.12E-01	10.35
NM_004673	1.76	4.25E-01	132.46
NM_012098	5.24	1.84E-01	1271.86
NM_014495	-0.69	4.93E-01	15.13
NM_001039667	2.30	3.37E-01	6782.59
NM_139314	2.36	3.33E-01	9397.27
NM_178127	-2.10	2.55E-01	19.06
NM_031917	0.07	8.91E-01	1192.94
NM_021146	-0.06	9.51E-01	11.05
NM_020480	4.14	2.02E-01	1641.19
NM_020475	4.69	1.38E-01	2095.26
NM_000037	4.80	2.71E-01	1485.74
NM_020478	4.85	1.87E-01	1030.60
NM_020477	6.13	2.42E-01	1562.14
NM_001142445	6.57	1.23E-01	3779.78
NM_001142446	7.00	2.82E-01	6327.05
NM_020476	7.17	1.96E-01	11471.49
NM_001148	3.90	5.47E-02	1528.07
NM_001127493	4.06	4.84E-02	475.83
NM_020977	4.07	4.60E-02	341.89
NM_001149	-4.08	1.51E-02	24855.41
NM_020987	-3.95	1.90E-04	1586.16
NM_144708	0.01	9.93E-01	367.58
NM_182703	0.57	5.89E-01	167.01
NM_022096	-1.57	1.08E-01	1427.90
NM_198798	-1.16	1.48E-01	7180.65
NM_153228	-3.12	3.74E-01	409.39
NM_016376	0.74	3.58E-01	11043.41
NM_020740	1.48	1.67E-01	296.92
NM_054027	2.43	1.89E-02	45191.72
NM_017747	-1.85	8.95E-02	15745.13
NM_017978	-0.92	1.91E-01	2582.28
NM_024668	0.16	7.77E-01	7651.01
NM_020690	-0.36	5.45E-01	23050.13
NM_019004	-0.30	2.63E-01	45771.59
NM_178510	-3.80	1.24E-01	414.28
NM_152363	0.70	4.14E-01	1152.59
NM_015114	-0.04	8.35E-01	40853.09
NM_017844	-1.41	6.46E-02	765.33
NM_016552	-0.70	2.54E-01	3545.50
NM_020319	-0.21	5.39E-01	11921.13
NM_023039	-0.93	5.80E-02	4175.13
NM_014391	8.21	3.43E-01	89152.12
NM_017664	-0.28	7.18E-01	10672.21
NM_013275	0.83	1.92E-01	29131.44
NM_001083625	-1.47	3.93E-03	21273.71
NM_015208	-0.41	6.20E-01	3031.03
NM_033121	0.24	6.99E-01	14966.02
NM_152345	0.75	1.88E-01	6033.91
NM_030816	0.70	7.50E-03	27277.97
NM_207354	-0.98	3.03E-01	5332.68
NM_001009941	-1.09	8.19E-02	1110.05
NM_019046	-0.66	1.72E-01	1649.74
NM_001009943	-0.30	5.96E-01	1322.99
NM_032217	0.22	3.28E-01	31028.80
NM_198889	0.55	2.07E-01	34415.41
NR_003291	-2.59	6.44E-02	6.02
NR_026868	-0.18	7.75E-01	338.82
NM_001129981	-2.85	1.76E-01	246.53
NM_020349	-2.76	3.20E-01	587.50
NR_027270	-0.59	4.50E-01	52.06
NM_001098805	-2.56	2.50E-02	143.74
NM_001012419	-1.94	3.94E-02	38.63
NM_001012419	-1.77	1.12E-02	61.62
NM_001012421	-1.48	1.69E-01	28.08
NR_003366	-2.03	1.53E-02	135.06
NR_027995	-1.13	6.92E-03	12690.13
NM_144590	-6.48	5.28E-02	7066.34
NM_144994	-2.53	2.80E-02	5073.39
NM_133475	-2.05	4.99E-02	748.07
NM_014915	-0.24	6.85E-01	4848.03
NR_026556	2.53	1.49E-01	42.26
NR_027248	-0.87	3.47E-01	1.82
NM_032139	-0.03	9.41E-01	33160.31
NM_015199	1.48	7.90E-02	38909.70
NM_173505	0.78	3.58E-01	722.90
NM_052997	-3.81	2.32E-01	551.41
NM_001145029	-4.38	3.47E-01	4589.89
NR_027019	-2.72	3.35E-01	26.36
NR_027020	0.07	9.06E-01	567.60
NR_026916	2.39	2.03E-01	118.33
NM_032290	0.75	1.26E-01	10023.99
NM_182608	-0.63	1.41E-01	1.55
NM_001039888	-1.85	1.36E-01	11437.73
NM_001004441	-5.53	2.00E-01	1544.20
NM_001146341	-0.62	6.64E-01	6.97
NM_144698	-3.84	1.76E-01	269.98
NM_001164315	-1.08	2.18E-01	1646.76
NM_025190	-0.93	2.10E-01	901.84
NR_026844	-0.32	5.20E-01	6027.26
NR_015424	1.47	4.11E-01	93.52
NM_181726	-0.31	7.58E-01	1124.00
NM_016466	-0.68	1.49E-01	4636.32
NM_052855	-0.33	3.59E-01	74851.03
NM_182603	-1.85	1.05E-01	384.20
NM_153697	-0.30	5.83E-01	78.77
NM_198493	-0.38	4.80E-01	219.51
NM_198401	-1.26	2.37E-03	1507.56
NM_017704	-0.25	6.83E-01	4774.50
NM_020337	-0.06	8.11E-01	558.27
NM_173595	-0.67	3.94E-01	88793.74
NM_001115116	-1.84	1.11E-01	30.41
NM_024933	-1.52	5.08E-02	33.13
NM_138797	0.31	5.07E-01	8324.74
NM_024669	4.31	2.03E-01	23.82
NM_001039935	5.98	3.32E-01	56.81
NM_014942	-1.87	5.78E-02	3166.03
NM_001145210	-1.67	2.74E-01	37.40
NR_026871	-1.63	2.43E-01	92.23
NM_001162435	-4.48	3.47E-01	22.26
NM_019644	5.08	1.54E-01	149.06
NM_152326	0.09	9.26E-01	675.66
NM_015245	-0.49	2.25E-02	33757.28
NM_152788	-1.30	3.39E-01	823.47
NM_181670	-0.71	5.48E-01	458.13
NM_020140	1.24	4.19E-01	213.75
NM_133450	0.80	1.09E-01	2012.75
NM_145865	-2.75	1.08E-01	731.68
NM_173551	0.93	1.33E-01	13524.10
NM_001042410	-0.76	3.14E-01	4837.98
NM_018089	-0.65	1.48E-01	10701.31
NM_018685	1.21	2.15E-02	113921.44
NM_018043	-8.82	7.77E-02	51304.14
NM_018075	0.50	3.73E-01	37794.58
NM_020373	-2.30	4.20E-02	1390.07
NM_031418	0.74	6.06E-01	131.75
NM_178826	-0.27	8.64E-01	20.79
NM_001142649	-6.07	1.93E-01	10243.90
NM_213599	-4.65	7.53E-02	3843.81
NM_001142678	-1.58	1.94E-01	2964.62
NM_001142679	-0.60	2.78E-01	1625.06
NM_001142680	-0.41	4.15E-01	1441.24
NM_001025356	0.31	3.15E-01	69950.09
NM_001001666	-0.41	8.48E-01	9.57
NM_001001891	0.98	2.21E-01	1902.65
NM_020959	-0.84	4.50E-02	17439.06
NM_001012302	-6.43	2.67E-02	1404.97
NM_006305	0.68	1.27E-01	94515.99
NR_026808	-0.74	2.73E-01	550.53
NR_003144	0.69	1.35E-01	6532.40
NM_006401	0.81	1.03E-01	104301.68
NM_012403	0.69	3.33E-01	48.91
NM_012404	2.35	2.07E-01	8.40
NM_001136479	0.82	2.04E-01	945.35
NM_001136478	1.16	2.22E-01	9925.02
NM_030920	1.32	5.65E-02	62355.98
NM_001150	9.17	1.11E-01	576937.22
NM_053034	0.15	6.41E-01	25.36
NM_032208	3.53	2.23E-03	80000.02
NM_018153	4.34	5.79E-03	5571.39
NM_001145794	2.52	4.38E-03	1076.32
NM_058172	6.02	4.76E-03	49286.42
NR_003601	-5.12	2.38E-01	34.78
NM_000700	6.83	3.09E-03	113101.90
NM_007193	4.79	9.20E-02	27.61
NM_145869	0.04	8.81E-01	285.86
NM_001157	0.35	5.66E-01	15479.08
NM_145868	0.42	5.81E-01	7987.77
NM_001003954	1.27	3.62E-01	4.96
NM_004306	1.30	3.55E-01	4.66
NM_001002857	1.55	1.99E-02	150412.31
NM_001136015	1.75	7.78E-03	3998.75
NM_001002858	1.87	4.26E-02	7250.56
NM_004039	2.45	3.38E-01	3213.37
NR_001562	1.70	3.93E-03	22307.77
NR_003573	1.67	5.14E-03	436206.23
NR_001446	1.74	7.86E-03	29614.46
NM_001014279	0.87	4.11E-01	917.04
NM_005139	0.51	7.73E-01	5150.04
NM_001153	-0.48	2.16E-01	26431.99
NM_001154	1.60	6.66E-04	134052.29
NM_004033	-1.16	1.30E-01	89623.71
NM_001155	1.73	2.76E-01	1937.25
NM_004034	-0.52	1.84E-01	395.91
NM_001156	-0.51	2.03E-01	74035.56
NM_001098845	4.02	3.43E-01	1193.70
NM_001630	5.30	3.44E-01	830.81
NM_001098845	6.81	3.42E-01	378.96
NM_003568	-6.44	3.24E-02	17433.25
NM_001637	3.27	3.97E-01	13.89
NM_001091	-5.50	3.54E-01	1526.35
NM_001158	-0.05	9.22E-01	402.72
NM_009590	1.11	2.54E-01	2248.37
NM_003734	0.87	2.26E-01	1496.45
NR_002773	-0.07	9.50E-01	23.06
NM_001159	7.82	1.50E-01	8016.29
NR_001557	-3.29	3.47E-01	9.75
NM_018569	-0.36	3.88E-01	15603.70
NM_001128426	-0.27	4.51E-01	14129.30
NM_145730	-1.14	3.57E-02	101307.55
NM_001127	-0.15	5.40E-01	1156.42
NM_001128	-1.11	9.93E-04	98187.66
NM_001030007	-0.18	5.07E-01	5154.30
NM_003917	-6.78	1.59E-01	1937.84
NM_001130524	0.07	6.60E-01	426.70
NM_032493	2.11	1.45E-05	56621.88
NM_005498	-3.02	8.95E-04	36343.69
NM_001283	-0.10	8.08E-01	31761.10
