Gene ID	Log2Ratio	p-value	Max RPKM
NM_183357	-1.35	5.73E-01	648.29
NM_015270	-2.43	4.19E-03	56491.29
NM_020983	-1.27	5.61E-02	15339.93
NM_001114	0.42	6.98E-01	14713.31
NM_001115	8.00	2.30E-01	373.34
NM_001116	-1.14	1.75E-01	86749.39
NM_001117	0.37	7.51E-01	29.63
NM_001099733	1.07	5.05E-01	48.58
NM_001118	-0.05	1.41E-01	0.96
NM_001119	-2.78	1.94E-01	17235.22
NM_014189	0.09	7.28E-01	35920.29
NM_014190	0.61	3.40E-01	17090.15
NM_176801	0.65	2.84E-01	21059.68
NM_017482	0.61	5.76E-01	1065.09
NM_017484	1.53	3.15E-01	885.12
NM_017488	2.68	1.73E-01	425.91
NM_017483	2.71	1.57E-01	3369.21
NM_001617	6.79	1.87E-01	3793.50
NM_016824	-2.64	1.80E-01	30887.74
NM_019903	0.30	7.89E-01	5330.06
NM_001121	1.03	4.86E-01	5838.35
NM_024694	-0.69	7.56E-01	18.59
NM_000667	9.09	3.47E-01	546.22
NM_000668	6.72	3.47E-01	105.38
NM_000669	-1.88	4.02E-01	119.70
NM_000670	-0.84	5.45E-01	12.35
NM_000671	0.67	1.04E-01	55872.73
NM_001102470	0.74	2.94E-01	16.79
NM_000672	3.21	3.20E-01	34.67
NM_000673	1.17	3.47E-01	2.25
NM_144650	-2.33	5.63E-02	329.24
NM_018269	0.83	2.09E-01	59170.25
NM_001018082	-0.96	3.47E-01	1.95
NM_004797	-2.48	3.83E-02	131.69
NM_015999	-1.11	1.49E-02	119357.05
NM_001127687	0.09	9.08E-01	2068.37
NM_024551	0.02	9.40E-01	3064.16
NM_006829	-7.06	2.06E-02	44550.43
NM_001123	-0.41	4.62E-01	41031.08
NM_006721	0.04	9.29E-01	14092.54
NM_001124	2.68	1.41E-01	24802.68
NM_024866	-2.57	6.59E-02	3111.65
NM_001101340	-0.78	4.16E-01	2461.20
NM_181442	-1.00	2.78E-02	53205.10
NM_015339	-0.80	1.78E-02	96517.43
NM_014913	0.24	2.95E-01	44439.37
NM_032804	-0.06	8.29E-01	37886.22
NM_000674	-5.15	1.08E-01	2897.77
NM_001048230	-4.39	2.00E-02	1521.62
NM_000675	1.19	4.33E-01	6030.39
NM_000676	4.19	5.95E-02	35261.53
NM_000677	-3.83	2.46E-01	14.20
NM_020683	-1.30	4.73E-01	8.09
NM_001081976	-0.32	8.79E-01	3.65
NR_023318	0.02	9.80E-01	1551.77
NM_031284	0.33	4.28E-01	13235.61
NR_023319	1.06	1.57E-01	1399.02
NM_001125	-2.61	1.34E-01	535.97
NM_199162	-2.54	4.59E-02	10625.76
NM_138430	1.07	1.94E-01	561.20
NM_017825	0.72	8.35E-03	15008.84
NM_020233	1.03	6.19E-02	763.57
NM_033303	-0.81	4.64E-01	31.53
NM_033302	0.00	9.99E-01	2.49
NM_033304	0.12	9.55E-01	2.87
NM_000680	0.83	7.12E-01	4.32
NM_000679	4.94	1.72E-01	6633.92
NM_000678	5.77	1.04E-01	873.79
NM_000681	-6.75	1.76E-01	6377.37
NM_000682	-4.16	2.56E-03	446.58
NM_000683	-3.98	3.41E-03	10456.57
NM_000684	-2.08	1.42E-01	2337.53
NM_000024	7.04	1.78E-01	11735.79
NM_001619	-1.56	6.74E-02	89966.44
NM_005160	-1.55	2.44E-01	17713.21
NM_175573	-0.19	4.05E-01	1544.01
NM_007002	-0.14	7.80E-01	57090.96
NM_000026	-0.25	3.68E-01	1040.51
NM_001123378	-0.16	8.36E-01	495.35
NM_001126	-0.34	4.74E-01	34948.92
NM_152328	-2.92	7.84E-03	2552.57
NM_199165	0.48	7.14E-01	486.97
NM_001143948	4.81	1.70E-03	147.58
NM_032744	5.10	2.15E-02	184.38
NM_001129	3.30	3.09E-01	482.71
NM_001114176	-0.91	4.19E-01	2154.54
NM_153207	-0.13	7.16E-01	25176.44
NM_022767	0.13	8.16E-01	33177.31
NM_001130	-0.64	1.43E-01	76401.70
NM_198970	-0.26	5.39E-01	3361.66
NM_198969	0.84	8.81E-02	319.67
NM_001134647	-1.00	1.41E-01	1640.39
NM_198595	1.06	1.73E-01	73829.84
NR_026892	4.91	3.41E-01	16912.91
NM_001146337	4.15	3.50E-02	1235.37
NM_152406	6.56	2.99E-02	10684.56
NM_032550	-0.78	5.08E-01	776.88
NM_001001936	0.32	8.01E-01	1254.06
NM_005935	-1.17	3.26E-02	21817.77
NM_002025	5.40	2.81E-01	1074.06
NM_001025108	-1.53	4.18E-01	19981.99
NM_002285	-1.31	4.85E-01	19881.86
NM_014423	-0.15	4.59E-01	133832.62
NR_003226	-1.46	1.07E-01	2101.79
NR_003227	-1.40	5.53E-02	1680.68
NR_003228	0.06	9.49E-01	183.58
NM_006796	0.80	1.17E-01	63364.76
NM_001010982	-1.02	4.25E-02	5962.81
